T	43.186010000	-95.914870000	426.7	89.3	-0.5	37.5170	85.37		
T	43.186000000	-95.914390000	426.9	91.6	0.5	37.5561	39.04		
T	43.186000000	-95.914200000	426.9	90.0	0.0	37.5715	15.45		
T	43.186000000	-95.913660000	427.2	90.0	0.7	37.6154	43.90		
T	43.186000000	-95.912750000	428.6	90.0	1.9	37.6894	73.98		
T	43.186000000	-95.911710000	429.9	90.0	1.5	37.7739	84.55		
T	43.186000000	-95.910990000	430.2	90.0	0.5	37.8325	58.53		
T	43.186000000	-95.910200000	431.4	90.0	1.9	37.8967	64.22		
T	43.186000000	-95.909610000	431.6	90.0	0.4	37.9446	47.96		
T	43.186000000	-95.908880000	431.7	90.0	0.2	38.0040	59.35		
T	43.186000000	-95.908130000	431.4	90.0	-0.5	38.0650	60.97		
T	43.186000000	-95.907290000	430.7	90.0	-1.0	38.1332	68.29		
T	43.186000000	-95.905830000	429.6	90.0	-0.9	38.2519	118.69		
T	43.186000000	-95.904530000	430.4	90.0	0.8	38.3576	105.68		
T	43.186000000	-95.903520000	431.9	90.0	1.8	38.4397	82.11		
T	43.186000000	-95.902720000	432.4	90.0	0.8	38.5048	65.04		
T	43.186000000	-95.902020000	432.7	90.0	0.5	38.5617	56.91		
T	43.186000000	-95.901670000	432.9	90.0	0.7	38.5901	28.45		
T	43.185950000	-95.893030000	436.9	90.5	0.6	39.2925	702.41		
T	43.185940000	-95.889450000	440.5	90.2	1.2	39.5836	291.04		
T	43.185920000	-95.885510000	437.1	90.4	-1.1	39.9039	320.31		
T	43.185910000	-95.883410000	432.7	90.4	-2.6	40.0746	170.72		
T	43.185910000	-95.882860000	432.1	90.0	-1.3	40.1193	44.71		
T	43.185910000	-95.881940000	430.8	90.0	-1.7	40.1941	74.79		
T	43.185880000	-95.877090000	424.5	90.5	-1.6	40.5884	394.29		
T	43.185870000	-95.875420000	424.3	90.5	-0.1	40.7242	135.77		
T	43.185860000	-95.874630000	427.4	91.0	4.8	40.7884	64.23		
T	43.185850000	-95.872590000	427.5	90.4	0.1	40.9542	165.85		
T	43.185830000	-95.868390000	418.2	90.4	-2.7	41.2957	341.45		
T	43.185820000	-95.868250000	419.5	95.6		41.3071	11.44		
T	43.185820000	-95.868100000	420.3	90.0	6.6	41.3193	12.19		
T	43.185800000	-95.862060000	424.9	90.3	0.9	41.8103	491.03		
T	43.185800000	-95.862060000	424.9	90.3		41.8103	0.00		
T	43.185690000	-95.862020000	425.0	165.2	0.8	41.8230	12.65		
T	43.185410000	-95.861970000	425.1	172.6	0.3	41.8544	31.37		
T	43.185160000	-95.861970000	425.3	180.0	0.7	41.8821	27.77		
T	43.184840000	-95.861970000	425.7	180.0	1.1	41.9177	35.55		
T	43.183640000	-95.861920000	426.4	178.3	0.5	42.0511	133.38		
T	43.183640000	-95.861920000	426.4	178.3		42.0511	0.00		
T	43.183560000	-95.861570000	426.8	107.4	1.3	42.0809	29.81		
T	43.183100000	-95.859490000	428.9	106.9	1.2	42.2575	176.65		
T	43.182750000	-95.857890000	430.4	106.7	1.1	42.3933	135.77		
T	43.182650000	-95.857480000	430.8	108.5	1.1	42.4284	35.14		
T	43.182540000	-95.857020000	431.5	108.2	1.8	42.4678	39.34		
T	43.182450000	-95.856590000	432.2	106.0	1.9	42.5041	36.36		
T	43.182450000	-95.856590000	432.2	106.0		42.5041	0.00		
T	43.181330000	-95.856990000	432.5	194.6	0.2	42.6327	128.61		
T	43.182450000	-95.856590000	432.2	14.6	-0.2	42.7613	128.61		
T	43.183200000	-95.856300000	430.9	15.7	-1.5	42.8479	86.59		
T	43.183550000	-95.856160000	430.1	16.3	-2.0	42.8885	40.52		
T	43.183550000	-95.856160000	430.1	16.3		42.8885	0.00		
T	43.183370000	-95.855280000	430.6	105.7	0.7	42.9627	74.28		
T	43.183370000	-95.855280000	430.6	105.7		42.9627	0.00		
T	43.183750000	-95.855120000	430.3	17.1	-0.7	43.0069	44.18		
T	43.184040000	-95.855000000	430.4	16.8	0.3	43.0406	33.66		
T	43.184360000	-95.854870000	430.5	16.5	0.3	43.0777	37.09		
T	43.184840000	-95.854660000	430.7	17.7	0.4	43.1337	55.99		
T	43.185370000	-95.854440000	430.8	16.8	0.2	43.1952	61.54		
T	43.185890000	-95.854230000	430.8	16.4	0.0	43.2554	60.24		
T	43.187110000	-95.853710000	430.3	17.3	-0.4	43.3974	141.98		
T	43.188320000	-95.853210000	429.2	16.8	-0.8	43.5378	140.44		
T	43.188840000	-95.852990000	427.7	17.1	-2.5	43.5983	60.48		
T	43.189490000	-95.852700000	426.9	18.0	-1.1	43.6743	75.96		
T	43.189710000	-95.852610000	427.0	16.6	0.4	43.6998	25.51		
T	43.189980000	-95.852480000	427.4	19.3	1.3	43.7316	31.80		
