type	latitude	longitude	altitude (m)	course	slope (%)	distance (km)	distance_interval (m)	slope corrected
1	43.284649	-95.497478	433.2	90.8	-1.3	78.8476	256.09	-1.2
1	43.284387	-95.493277	433	94.9	-0.1	79.1898	342.21	-0.1
1	43.284205	-95.490825	430.5	95.8	-1.3	79.3899	200.04	-1.2
1	43.284218	-95.48728	433	89.7	0.9	79.6776	287.73	0.9
1	43.28476	-95.48645	433.1	48.1	0.1	79.768	90.36	0.1
1	43.285596	-95.486943	433	336.8	-0.1	79.8691	101.13	-0.1
1	43.288933	-95.48701	441.5	359.2	2.3	80.2399	370.78	2.3
1	43.290626	-95.487001	444.8	0.2	1.8	80.428	188.09	1.8
1	43.293167	-95.487007	448.9	359.9	1.5	80.7103	282.3	1.5
1	43.296349	-95.487015	449.4	359.9	0.1	81.0638	353.52	0.1
1	43.298257	-95.487019	447.2	359.9	-1	81.2758	211.98	-1
1	43.301855	-95.486898	445.6	1.4	-0.4	81.6756	399.85	-0.4
1	43.303359	-95.486836	445.1	1.7	-0.3	81.8428	167.17	-0.3
1	43.30612	-95.486744	446.2	1.4	0.4	82.1496	306.83	0.4
1	43.30882	-95.48676	445.1	359.8	-0.4	82.4496	299.97	-0.4
1	43.311071	-95.486789	440.6	359.5	-1.8	82.6997	250.09	-1.8
1	43.313471	-95.486516	440.5	4.7	0	82.9672	267.56	0
1	43.31349	-95.48715	441.3	272.4	1.6	83.0187	51.48	1.6
1	43.313474	-95.484155	435.9	90.4	-2.2	83.2617	242.98	-2.2
1	43.313467	-95.480351	433.4	90.1	-0.8	83.5703	308.6	-0.8
1	43.313349	-95.477471	431.4	93.2	-0.9	83.8043	234.01	-0.9
1	43.3134	-95.47668	433.5	84.9	3.3	83.8687	64.42	3.3
1	43.313385	-95.474118	435.5	90.5	1	84.0766	207.85	1
1	43.313336	-95.469631	434.9	90.9	-0.2	84.4406	364.05	-0.2
1	43.313321	-95.467361	433.3	90.5	-0.9	84.6248	184.16	-0.9
1	43.31332	-95.4669	433.2	90.2	-0.3	84.6622	37.4	-0.3
1	43.315428	-95.467173	433	354.6	-0.1	84.8974	235.24	-0.1
1	43.318254	-95.467159	433.9	0.2	0.3	85.2114	313.97	0.3
1	43.320345	-95.46714	434.8	0.4	0.4	85.4437	232.31	0.4
1	43.323655	-95.467119	435.7	0.3	0.2	85.8114	367.74	0.2
1	43.325965	-95.467077	436.6	0.8	0.4	86.0681	256.66	0.4
1	43.32768	-95.46703	438.8	1.1	1.2	86.2587	190.57	1.2
1	43.327775	-95.46507	443.3	86.2	2.8	86.418	159.32	2.8
1	43.327779	-95.463111	442.8	89.8	-0.3	86.5769	158.89	-0.3
1	43.327808	-95.457763	451.4	89.6	2	87.0106	433.77	2
1	43.327825	-95.454856	453.7	89.5	1	87.2464	235.78	1
1	43.327843	-95.451948	453	89.5	-0.3	87.4823	235.87	-0.3
1	43.327861	-95.449041	451	89.5	-0.9	87.7181	235.78	-0.8
1	43.327856	-95.444338	451.3	90.1	0.1	88.0995	381.44	0.1
1	43.327842	-95.441166	450.3	90.3	-0.4	88.3568	257.27	-0.4
